Unnamed: 0,csa_code_origin,csa_code_dest,CarrID,yearq,Segid,seg_entry_tplus1,Dist,Dist_sq,pop_origin,pop_dest,ln2002pssgrdens,seg_entry_t,nonstop_comps,orig_share,dest_share,any_origin,any_dest,scheduled_flights,fstseats,busseats,ecoseats,scheduled_aircraft_max_take_off_weight,scheduled_aircraft_hold_volume,scheduled_aircraft_range_stat_miles,capacity_t,capacity_tplus1
44,1,5,8,15,4,0,0.612831043,0.375561887,817973,1528958,8.590815331,1,2,0.131846438,0.173503282,1,1,0,0,0,0,0,0,0,0,0
48,1,5,12,15,4,0,0.612831043,0.375561887,817973,1528958,8.590815331,1,2,0.527414663,0.338488054,1,1,0,0,0,0,0,0,0,0,0
84,1,8,12,15,7,0,1.120425292,1.255352835,817973,1489156,4.060443011,1,1,0.527414663,0.547678394,1,1,0,0,0,0,0,0,0,0,0
92,1,9,8,15,8,0,0.781021692,0.609994883,817973,566842,7.563719668,1,2,0.131846438,0.412624502,1,1,0,0,0,0,0,0,0,0,0
121,1,12,1,15,11,0,0.676410871,0.457531667,817973,12713660,12.03536736,1,3,0.122288979,0.160534343,1,1,0,0,0,0,0,0,0,0,0
131,1,12,11,15,11,0,0.676410871,0.457531667,817973,12713660,12.03536736,1,3,0.000485737,0.015242778,1,1,0,0,0,0,0,0,0,0,0
152,1,14,8,15,13,0,1.407529533,1.981139388,817973,2106336,5.789960171,1,1,0.131846438,0.457047669,1,1,0,0,0,0,0,0,0,0,0
198,1,18,6,15,17,0,0.568161755,0.32280778,817973,5999411,12.9310818,1,4,0.061213302,0.01546465,1,1,0,0,0,0,0,0,0,0,0
205,1,19,1,15,18,1,0.338508093,0.114587729,817973,2399620,12.33835889,0,3,0.122288979,0.043952796,1,1,0,0,0,0,0,0,0,0,0
228,1,20,12,15,19,1,1.364180712,1.860989015,817973,4484542,5.950642553,0,2,0.527414663,0.040169575,1,1,0,0,0,0,0,0,0,0,0
257,1,23,5,15,22,0,1.687089256,2.846270158,817973,4201036,6.663132696,1,2,0.073020187,0.124659824,1,1,0,0,0,0,0,0,0,0,0
276,1,24,12,15,23,1,1.036085383,1.073472922,817973,447211,5.308267697,0,0,0.527414663,0.308514217,1,1,0,0,0,0,0,0,0,0,0
284,1,25,8,15,24,0,3.230240751,10.43445531,817973,903467,0,1,0,0.131846438,0.506820516,1,1,0,0,0,0,0,0,0,0,0
293,1,26,5,15,25,0,0.743284524,0.552471883,817973,5484883,12.18494094,1,2,0.073020187,0.013946756,1,1,7,1.714285714,0,58.85714286,27,12,1681.571429,7,0
324,1,28,12,15,27,0,1.477002184,2.181535451,817973,1279132,4.430816799,1,0,0.527414663,0.251350905,1,1,0,0,0,0,0,0,0,0,0
